stem,method,region_h,region_w,niqe,brisque,ocr_conf_sum,ocr_n_detections
sc_33_40,raw,106,96,5.049649347065741,17.82928466796875,1.981215580005985,3
sc_33_40,telea,106,96,5.453400789332602,26.71209716796875,0.0,0
sc_33_40,navier_stokes,106,96,5.074680467581673,27.50115966796875,0.0,0
sc_33_40,lama_manual_mask,106,96,4.625920381013809,27.15057373046875,0.0,0
sc_33_40,lama_dilated,106,96,5.686947834168723,27.16619873046875,0.0,0
sc_33_40,lama_auto,106,96,6.0486582434612615,24.80194091796875,0.0,0
sc_h_1,raw,595,401,5.873386404583525,37.79315185546875,2.24868129361486,5
sc_h_1,telea,595,401,7.909847176823771,37.54412841796875,0.0,0
sc_h_1,navier_stokes,595,401,7.487186034158837,42.96697998046875,0.0,0
sc_h_1,lama_manual_mask,595,401,5.588333487579119,32.11541748046875,0.0,0
sc_h_1,lama_dilated,595,401,6.174716543773633,34.10955810546875,0.0,0
sc_h_1,lama_auto,595,401,5.593461068324131,33.45037841796875,0.06105324234783223,1
sc_h_10,raw,177,107,6.050036134654135,33.79315185546875,2.5479475135247407,4
sc_h_10,telea,177,107,5.184236597440356,25.94158935546875,0.0,0
sc_h_10,navier_stokes,177,107,4.846947701685881,27.42303466796875,0.0,0
sc_h_10,lama_manual_mask,177,107,5.005777528398032,31.89764404296875,0.0,0
sc_h_10,lama_dilated,177,107,5.876340954359558,30.63494873046875,0.0,0
sc_h_10,lama_auto,177,107,5.450328825843332,25.75506591796875,0.0,0
sc_h_11,raw,177,114,12.228836293213549,37.95819091796875,2.7535306823115238,4
sc_h_11,telea,177,114,10.609083776295613,14.05194091796875,0.0,0
sc_h_11,navier_stokes,177,114,8.495440450981663,18.07635498046875,0.0,0
sc_h_11,lama_manual_mask,177,114,10.285454159885987,24.49920654296875,0.2452489566279807,1
sc_h_11,lama_dilated,177,114,12.723076899961796,11.69549560546875,0.0,0
sc_h_11,lama_auto,177,114,10.533819658537421,7.02459716796875,0.0,0
sc_h_12,raw,225,189,9.194102985350423,44.24139404296875,2.0084668683890325,4
sc_h_12,telea,225,189,9.432134343305703,35.40838623046875,0.0,0
sc_h_12,navier_stokes,225,189,9.036859708284652,38.27947998046875,0.0,0
sc_h_12,lama_manual_mask,225,189,9.217272964064346,39.82049560546875,0.0,0
sc_h_12,lama_dilated,225,189,9.117418643709994,32.95330810546875,0.0,0
sc_h_12,lama_auto,225,189,9.367590008893277,37.49530029296875,0.0,0
