stem,method,region_h,region_w,niqe,brisque
sc_33_32,swin2sr,356,215,8.05599134631736,47.74920654296875
sc_33_32,realesrgan,340,208,5.830232898521424,14.19940185546875
sc_33_32,aesrgan,340,208,5.504072850589995,14.97088623046875
sc_33_33,lama_dilated,108,118,4.7711824948694765,14.06170654296875
sc_33_33,swin2sr,326,369,7.859758226605292,51.39373779296875
sc_33_33,realesrgan,312,355,5.237188271644498,29.06854248046875
sc_33_33,aesrgan,312,355,3.941943943113251,4.63885498046875
sc_33_34,lama_dilated,118,96,12.161801198750647,18.71502685546875
sc_33_34,swin2sr,370,265,13.774250934514631,94.01483154296875
sc_33_34,realesrgan,352,255,13.123856130158064,36.06756591796875
sc_33_34,aesrgan,352,255,9.160127178031349,28.72772216796875
sc_33_35,lama_dilated,111,96,4.832198490521072,10.31561279296875
sc_33_35,swin2sr,338,217,9.608074236608326,59.46209716796875
sc_33_35,realesrgan,323,210,5.374624246794132,22.33514404296875
sc_33_35,aesrgan,323,210,4.504544938273597,24.92596435546875
sc_33_36,lama_dilated,120,96,13.368252834780373,20.76531982421875
sc_33_36,swin2sr,384,256,17.016541518829353,106.0203857421875
sc_33_36,realesrgan,368,246,9.032271064795813,42.43963623046875
sc_33_36,aesrgan,368,246,6.43388255559363,18.05242919921875
sc_33_37,lama_dilated,115,96,8.3365746058876,48.44842529296875
sc_33_37,swin2sr,394,252,10.550759401473783,46.15643310546875
sc_33_37,realesrgan,376,243,6.628949286596736,13.54022216796875
sc_33_37,aesrgan,376,243,5.628406073840796,6.23065185546875
sc_33_38,lama_dilated,109,96,6.35117823511506,27.57635498046875
sc_33_38,swin2sr,368,248,9.286673709321331,55.35467529296875
sc_33_38,realesrgan,352,239,5.241926134979084,37.44256591796875
sc_33_38,aesrgan,352,239,4.520498599293883,24.81561279296875
sc_33_39,lama_dilated,121,96,11.617620659416833,10.86834716796875
sc_33_39,swin2sr,389,264,12.68407338684825,82.63592529296875
sc_33_39,realesrgan,373,254,12.193295274953089,28.63104248046875
sc_33_39,aesrgan,373,254,9.941683103681834,26.99627685546875
sc_33_40,lama_dilated,109,96,6.500131359972902,30.43670654296875
sc_33_40,swin2sr,350,243,8.842602760249825,60.46307373046875
sc_33_40,realesrgan,335,235,5.486019937505081,1.35565185546875
sc_33_40,aesrgan,335,235,3.7484906090513133,17.17010498046875
sc_h_1,lama_dilated,599,404,6.20102911534391,34.32830810546875
sc_h_1,realesrgan,2276,1496,6.511363491665256,24.62127685546875
sc_h_1,aesrgan,2276,1496,2.7859050285974436,-8.95587158203125
sc_h_10,lama_dilated,178,108,5.937549167523905,25.05487060546875
sc_h_10,swin2sr,608,323,8.879515817833214,67.01776123046875
sc_h_10,realesrgan,592,314,3.2473761234475518,13.82928466796875
sc_h_10,aesrgan,592,314,4.096074732386461,6.30291748046875
sc_h_11,lama_dilated,180,115,11.87974329784055,10.74334716796875
sc_h_11,swin2sr,617,347,12.604889990468976,96.56951904296875
sc_h_11,realesrgan,601,339,10.851704106849985,26.82537841796875
sc_h_11,aesrgan,601,339,10.278320889267603,21.12518310546875
sc_h_12,lama_dilated,226,191,8.955110178067198,30.90350341796875
sc_h_12,swin2sr,808,658,10.184844569199205,70.69354248046875
sc_h_12,realesrgan,785,643,7.535060400191367,33.30389404296875
sc_h_12,aesrgan,785,643,5.6594387042963525,17.56268310546875
sc_h_13,lama_dilated,174,111,8.050606516491701,18.03240966796875
sc_h_13,swin2sr,591,332,11.98169769100896,86.23651123046875
sc_h_13,realesrgan,576,324,8.364145273388543,21.18182373046875
sc_h_13,aesrgan,576,324,9.410371556533821,28.41424560546875
sc_h_14,lama_dilated,173,112,7.539749835367923,36.75799560546875
sc_h_14,swin2sr,589,333,10.425785724309959,72.10467529296875
sc_h_14,realesrgan,574,326,6.145072573500283,41.76678466796875
sc_h_14,aesrgan,574,326,4.432343986489435,-5.03887939453125
sc_h_15,lama_dilated,188,114,11.073903224073103,20.88885498046875
sc_h_15,swin2sr,648,344,10.430936735360575,78.68572998046875
sc_h_15,realesrgan,632,336,9.003620517035365,31.43084716796875
sc_h_15,aesrgan,632,336,9.820698642284349,24.88494873046875
sc_h_16,lama_dilated,190,115,7.8213863636733185,41.50994873046875
sc_h_16,swin2sr,656,349,8.373950735237047,55.59295654296875
sc_h_16,realesrgan,640,340,4.133115743062509,15.33416748046875
sc_h_16,aesrgan,640,340,3.172588076027049,10.84197998046875
sc_h_17,lama_dilated,180,122,8.23518669315131,25.58026123046875
sc_h_17,swin2sr,616,377,14.826803878196928,93.76580810546875
