image,sr_method,input_niqe,sr_niqe,niqe_improvement,input_brisque,sr_brisque,brisque_improvement,input_remove,sr_remove,remove_improvement,niqe_result,brisque_result,remove_result
sc_h_44,realesrgan,7.543635662294677,14.756275765425563,-7.212640103130886,13.38592529296875,24.02069091796875,-10.634765625,0.9126243591308594,0.896649181842804,-0.01597517728805542,Worsened,Worsened,Worsened
sc_33_1,aesrgan,5.893139362681383,4.108376444086868,1.7847629185945149,-5.04083251953125,-11.74688720703125,6.7060546875,0.7159628868103027,0.749676525592804,0.03371363878250122,Improved,Improved,Improved
sc_33_11,aesrgan,10.522218410810398,6.485734111960818,4.0364842988495795,17.36444091796875,15.00506591796875,2.359375,0.9022783041000366,0.8882585167884827,-0.014019787311553955,Improved,Improved,Worsened
sc_33_12,aesrgan,8.399760718961485,8.012454128268068,0.38730659069341655,16.01043701171875,6.76092529296875,9.24951171875,0.9031728506088256,0.9087388515472412,0.005566000938415638,Improved,Improved,Improved
sc_33_13,aesrgan,6.981310551765733,7.406662778412842,-0.42535222664710837,49.85858154296875,-1.58282470703125,51.44140625,0.7773683071136475,0.6986223459243774,-0.07874596118927002,Worsened,Improved,Worsened
sc_33_14,aesrgan,5.21952102153655,6.228484228994383,-1.0089632074578336,20.40740966796875,5.02947998046875,15.3779296875,0.8567471504211426,0.8551514148712158,-0.0015957355499267578,Worsened,Improved,Worsened
sc_33_15,aesrgan,6.684796784248552,8.516481878700034,-1.8316850944514824,14.96697998046875,-6.46466064453125,21.431640625,0.5931088924407959,0.5589275360107422,-0.03418135643005371,Worsened,Improved,Worsened
sc_33_16,aesrgan,13.408182151934277,15.19368241609113,-1.7855002641568536,7.65643310546875,20.68280029296875,-13.0263671875,0.9085381627082824,0.8764842748641968,-0.03205388784408558,Worsened,Worsened,Worsened
sc_33_17,aesrgan,12.45483359433236,11.774259913645478,0.6805736806868818,24.87420654296875,14.21307373046875,10.6611328125,0.8319579362869263,0.836525022983551,0.004567086696624756,Improved,Improved,Improved
sc_33_18,aesrgan,9.770566356098508,12.780291150276447,-3.0097247941779397,5.01873779296875,-2.06036376953125,7.0791015625,0.907670557498932,0.8795031309127808,-0.028167426586151234,Worsened,Improved,Worsened
sc_33_19,aesrgan,10.538398912412449,7.742758059914447,2.7956408524980016,8.49530029296875,-9.14923095703125,17.64453125,0.8078644275665283,0.7395495176315308,-0.06831490993499756,Improved,Improved,Worsened
sc_33_20,aesrgan,12.373572688938754,10.67327443150758,1.7002982574311751,16.01580810546875,2.07244873046875,13.943359375,0.7899163961410522,0.8437457084655762,0.053829312324523926,Improved,Improved,Improved
sc_33_21,aesrgan,8.213320586044878,7.65593664517546,0.5573839408694177,19.28533935546875,23.70526123046875,-4.419921875,0.8793891072273254,0.8428856730461121,-0.03650343418121338,Improved,Worsened,Worsened
sc_33_22,aesrgan,10.463014450436097,6.264730102790082,4.198284347646014,55.12420654296875,42.25408935546875,12.8701171875,0.7789978981018066,0.7002192139625549,-0.07877868413925171,Improved,Improved,Worsened
sc_33_23,aesrgan,6.773369547223376,5.402773809540725,1.3705957376826507,21.00018310546875,4.92791748046875,16.072265625,0.908036470413208,0.8651599884033203,-0.042876482009887695,Improved,Improved,Worsened
sc_33_24,aesrgan,10.44233205751966,9.093407833224346,1.348924224295315,34.45623779296875,25.18377685546875,9.2724609375,0.8968496322631836,0.910704493522644,0.01385486125946045,Improved,Improved,Improved
sc_33_25,aesrgan,4.756055129464374,4.85361237468689,-0.09755724522251619,33.02362060546875,18.90545654296875,14.1181640625,0.8065935373306274,0.7361936569213867,-0.07039988040924072,Worsened,Improved,Worsened
sc_33_26,aesrgan,10.426844627626425,6.912795657299812,3.5140489703266127,22.31317138671875,16.65985107421875,5.6533203125,0.9066964387893676,0.9130213856697084,0.006324946880340798,Improved,Improved,Improved
sc_33_27,aesrgan,10.014427324399511,4.88393280183791,5.130494522561602,52.66912841796875,25.56951904296875,27.099609375,0.8900061845779419,0.8507499694824219,-0.03925621509552002,Improved,Improved,Worsened
sc_33_28,aesrgan,5.094938665722212,8.227241534604621,-3.132302868882409,29.22967529296875,19.93865966796875,9.291015625,0.8875241875648499,0.83473801612854,-0.052786171436309814,Worsened,Improved,Worsened
sc_33_29,aesrgan,8.639535319049042,9.454503108380855,-0.8149677893318135,30.90350341796875,25.21893310546875,5.6845703125,0.8764435052871704,0.8991302251815796,0.02268671989440918,Worsened,Improved,Improved
sc_33_30,aesrgan,4.787691084624294,4.517994184016695,0.2696969006075989,18.93084716796875,12.27850341796875,6.65234375,0.8884524703025818,0.7720468640327454,-0.11640560626983643,Improved,Improved,Worsened
sc_33_31,aesrgan,9.765247261003564,7.118872318161485,2.646374942842079,21.50408935546875,20.00067138671875,1.50341796875,0.9175323247909546,0.9231723546981812,0.0056400299072265625,Improved,Improved,Improved
sc_33_32,aesrgan,9.337893803230436,5.504072850589995,3.8338209526404414,52.61053466796875,14.97088623046875,37.6396484375,0.8028961420059204,0.7434636354446411,-0.0594325065612793,Improved,Improved,Worsened
sc_33_33,aesrgan,4.7711824948694765,3.941943943113251,0.8292385517562257,14.06170654296875,4.63885498046875,9.4228515625,0.8047149777412415,0.7202907800674438,-0.08442419767379761,Improved,Improved,Worsened
sc_33_34,aesrgan,12.161801198750648,9.160127178031347,3.0016740207193013,18.71502685546875,28.72772216796875,-10.0126953125,0.9094831943511964,0.8921173810958862,-0.01736581325531017,Improved,Worsened,Worsened
sc_33_35,aesrgan,4.832198490521072,4.504544938273597,0.32765355224747506,10.31561279296875,24.92596435546875,-14.6103515625,0.7979444265365601,0.7372786998748779,-0.06066572666168213,Improved,Worsened,Worsened
sc_33_36,aesrgan,13.368252834780373,6.43388255559363,6.9343702791867425,20.76531982421875,18.05242919921875,2.712890625,0.910757541656494,0.9229602813720704,0.012202739715576394,Improved,Improved,Improved
sc_33_37,aesrgan,8.3365746058876,5.628406073840796,2.7081685320468045,48.44842529296875,6.23065185546875,42.2177734375,0.8116345405578613,0.7928557395935059,-0.01877880096435547,Improved,Improved,Worsened
sc_33_38,aesrgan,6.35117823511506,4.520498599293883,1.830679635821177,27.57635498046875,24.81561279296875,2.7607421875,0.8073179721832275,0.7913326621055603,-0.015985310077667236,Improved,Improved,Worsened
sc_33_39,aesrgan,11.617620659416833,9.941683103681834,1.6759375557349987,10.86834716796875,26.99627685546875,-16.1279296875,0.8873836398124695,0.862748384475708,-0.024635255336761475,Improved,Worsened,Worsened
sc_33_40,aesrgan,6.500131359972902,3.748490609051313,2.751640750921589,30.43670654296875,17.17010498046875,13.2666015625,0.806577742099762,0.7836478352546692,-0.022929906845092773,Improved,Improved,Worsened
sc_h_1,aesrgan,6.20102911534391,2.785905028597444,3.4151240867464656,34.32830810546875,-8.95587158203125,43.2841796875,0.6489682793617249,0.6336371302604675,-0.015331149101257324,Improved,Improved,Worsened
sc_h_10,aesrgan,5.937549167523905,4.096074732386461,1.8414744351374441,25.05487060546875,6.30291748046875,18.751953125,0.8391227722167969,0.7996349334716797,-0.03948783874511719,Improved,Improved,Worsened
sc_h_11,aesrgan,11.87974329784055,10.278320889267604,1.6014224085729456,10.74334716796875,21.12518310546875,-10.3818359375,0.9206305742263794,0.9010928869247437,-0.019537687301635742,Improved,Worsened,Worsened
sc_h_12,aesrgan,8.955110178067198,5.6594387042963525,3.2956714737708452,30.90350341796875,17.56268310546875,13.3408203125,0.7377485036849976,0.5756576061248779,-0.16209089756011963,Improved,Improved,Worsened
sc_h_13,aesrgan,8.050606516491701,9.41037155653382,-1.3597650400421184,18.03240966796875,28.41424560546875,-10.3818359375,0.8567488193511963,0.8868237137794495,0.030074894428253174,Worsened,Worsened,Improved
sc_h_14,aesrgan,7.539749835367923,4.432343986489435,3.1074058488784875,36.75799560546875,-5.03887939453125,41.796875,0.8939652442932129,0.8782184720039368,-0.015746772289276123,Improved,Improved,Worsened
sc_h_15,aesrgan,11.073903224073105,9.820698642284349,1.253204581788756,20.88885498046875,24.88494873046875,-3.99609375,0.9448997974395752,0.9347695112228394,-0.01013028621673584,Improved,Worsened,Worsened
sc_h_16,aesrgan,7.8213863636733185,3.172588076027049,4.64879828764627,41.50994873046875,10.84197998046875,30.66796875,0.760788083076477,0.5691500902175903,-0.19163799285888672,Improved,Improved,Worsened
sc_h_17,aesrgan,8.23518669315131,11.96459917134562,-3.7294124781943108,25.58026123046875,32.97283935546875,-7.392578125,0.9332414865493774,0.9168552756309508,-0.016386210918426625,Worsened,Worsened,Worsened
sc_h_18,aesrgan,7.289946900723947,7.797528112020132,-0.507581211296185,15.14764404296875,27.69451904296875,-12.546875,0.8962168097496033,0.9001814126968384,0.003964602947235107,Worsened,Worsened,Improved
sc_h_19,aesrgan,10.667163429414035,7.582699790362838,3.0844636390511972,36.71405029296875,15.52557373046875,21.1884765625,0.8881787657737732,0.9091851711273192,0.02100640535354603,Improved,Improved,Improved
sc_h_20,aesrgan,5.7948107785637255,3.163960258984476,2.6308505195792495,33.04608154296875,3.71600341796875,29.330078125,0.8991102576255798,0.8705440759658813,-0.028566181659698486,Improved,Improved,Worsened
sc_h_21,aesrgan,5.859101993983165,3.185043618356119,2.674058375627046,20.07244873046875,14.41912841796875,5.6533203125,0.9009170532226562,0.8563554286956787,-0.04456162452697754,Improved,Improved,Worsened
sc_h_22,aesrgan,12.25020315539578,6.5988283499844265,5.651374805411354,18.98651123046875,24.77362060546875,-5.787109375,0.8823634386062622,0.8044977188110352,-0.07786571979522705,Improved,Worsened,Worsened
sc_h_23,aesrgan,8.370345876538492,6.977876021019066,1.3924698555194261,38.63787841796875,12.32733154296875,26.310546875,0.8471362590789795,0.851250946521759,0.004114687442779541,Improved,Improved,Improved
sc_h_24,aesrgan,8.497492980541665,6.0681700927408695,2.4293228878007955,20.42108154296875,11.60467529296875,8.81640625,0.9285866618156432,0.9297666549682616,0.0011799931526184082,Improved,Improved,Improved
sc_h_25,aesrgan,5.151316209796645,4.531745090190401,0.6195711196062446,30.01971435546875,0.20037841796875,29.8193359375,0.788689374923706,0.8307313919067383,0.04204201698303223,Improved,Improved,Improved
