stem,method,niqe ↓,brisque ↓,remove_score ↑,conclusion,conlcusion (visual)
sc_33_26,lama_dilated,10.426844627626425,22.31317138671875,0.9066964387893676,,
sc_33_26,swin2sr,19.20999558955229,105.31536865234376,0.8922539353370667,,✔️
sc_33_26,realesrgan,5.195715905583207,27.86541748046875,0.9047298431396484,✔️,
sc_33_26,aesrgan,6.912795657299812,16.65985107421875,0.9130213856697084,✔️,
sc_33_27,lama_dilated,10.014427324399511,52.66912841796875,0.8900061845779419,✔️,
sc_33_27,swin2sr,10.767257536008543,53.49627685546875,0.7474767565727234,,
sc_33_27,realesrgan,7.9070138174732625,12.62518310546875,0.8670586347579956,✔️,
sc_33_27,aesrgan,4.88393280183791,25.56951904296875,0.8507499694824219,✔️,✔️
sc_33_28,lama_dilated,5.094938665722212,29.22967529296875,0.8875241875648499,✔️,
sc_33_28,swin2sr,11.937502891161238,75.89471435546875,0.8327559232711792,,
sc_33_28,realesrgan,6.141311631566516,5.83807373046875,0.8326699733734131,✔️,
sc_33_28,aesrgan,8.227241534604621,19.93865966796875,0.83473801612854,,✔️
sc_33_29,lama_dilated,8.639535319049042,30.90350341796875,0.8764435052871704,✔️,
sc_33_29,swin2sr,14.337456667399133,80.08416748046875,0.912311315536499,✔️,
sc_33_29,realesrgan,9.832859192498464,19.28826904296875,0.9035659432411194,✔️,
sc_33_29,aesrgan,9.454503108380855,25.21893310546875,0.8991302251815796,,✔️
sc_33_30,lama_dilated,4.787691084624294,18.93084716796875,0.8884524703025818,✔️,
sc_33_30,swin2sr,9.364259387018526,66.37225341796875,0.8402360677719116,,
sc_33_30,realesrgan,3.4541960615253218,7.95037841796875,0.7559404373168945,✔️,
sc_33_30,aesrgan,4.517994184016695,12.27850341796875,0.7720468640327454,,✔️
sc_33_31,lama_dilated,9.765247261003564,21.50408935546875,0.9175323247909546,,
sc_33_31,swin2sr,9.915897666769371,56.43817138671875,0.8714655041694641,,✔️
sc_33_31,realesrgan,8.094672953743373,58.52947998046875,0.8989089727401733,,
sc_33_31,aesrgan,7.118872318161485,20.00067138671875,0.9231723546981812,✔️,
sc_33_32,lama_dilated,9.337893803230436,52.61053466796875,0.8028961420059204,✔️,
sc_33_32,swin2sr,8.05599134631736,47.74920654296875,0.6353639364242554,,✔️
sc_33_32,realesrgan,5.830232898521424,14.19940185546875,0.7399224638938904,✔️,
sc_33_32,aesrgan,5.504072850589995,14.97088623046875,0.7434636354446411,✔️,✔️
sc_33_33,lama_dilated,4.7711824948694765,14.06170654296875,0.8047149777412415,✔️,
sc_33_33,swin2sr,7.859758226605292,51.39373779296875,0.7564333081245422,,✔️
sc_33_33,realesrgan,5.237188271644498,29.06854248046875,0.7057763934135437,,✔️
sc_33_33,aesrgan,3.941943943113251,4.63885498046875,0.7202907800674438,✔️,✔️
sc_33_34,lama_dilated,12.161801198750648,18.71502685546875,0.9094831943511964,✔️,
sc_33_34,swin2sr,13.774250934514631,94.01483154296876,0.8841387629508972,,
sc_33_34,realesrgan,13.123856130158064,36.06756591796875,0.8826086521148682,,
sc_33_34,aesrgan,9.160127178031347,28.72772216796875,0.8921173810958862,✔️,✔️
sc_33_35,lama_dilated,4.832198490521072,10.31561279296875,0.7979444265365601,✔️,
sc_33_35,swin2sr,9.608074236608326,59.46209716796875,0.7279393672943115,,
sc_33_35,realesrgan,5.374624246794132,22.33514404296875,0.7239446640014648,,
sc_33_35,aesrgan,4.504544938273597,24.92596435546875,0.7372786998748779,✔️,✔️
sc_33_36,lama_dilated,13.368252834780373,20.76531982421875,0.910757541656494,,
sc_33_36,swin2sr,17.016541518829353,106.0203857421875,0.8793622255325317,,✔️
sc_33_36,realesrgan,9.032271064795813,42.43963623046875,0.9177031517028807,,
sc_33_36,aesrgan,6.43388255559363,18.05242919921875,0.9229602813720704,✔️,
sc_33_37,lama_dilated,8.3365746058876,48.44842529296875,0.8116345405578613,✔️,
sc_33_37,swin2sr,10.550759401473783,46.15643310546875,0.6924445629119873,,
sc_33_37,realesrgan,6.628949286596736,13.54022216796875,0.8005821704864502,,
sc_33_37,aesrgan,5.628406073840796,6.23065185546875,0.7928557395935059,✔️,✔️
sc_33_38,lama_dilated,6.35117823511506,27.57635498046875,0.8073179721832275,✔️,
sc_33_38,swin2sr,9.286673709321333,55.35467529296875,0.7565361857414246,,
sc_33_38,realesrgan,5.241926134979084,37.44256591796875,0.7915475368499756,,
sc_33_38,aesrgan,4.520498599293883,24.81561279296875,0.7913326621055603,✔️,✔️
sc_33_39,lama_dilated,11.617620659416833,10.86834716796875,0.8873836398124695,✔️,
sc_33_39,swin2sr,12.68407338684825,82.63592529296875,0.8698978424072266,,
sc_33_39,realesrgan,12.193295274953089,28.63104248046875,0.8479824066162109,,
sc_33_39,aesrgan,9.941683103681834,26.99627685546875,0.862748384475708,✔️,✔️
sc_33_40,lama_dilated,6.500131359972902,30.43670654296875,0.806577742099762,✔️,
sc_33_40,swin2sr,8.842602760249825,60.46307373046875,0.7373152375221252,,
sc_33_40,realesrgan,5.486019937505081,1.35565185546875,0.7667555809020996,✔️,
sc_33_40,aesrgan,3.748490609051313,17.17010498046875,0.7836478352546692,✔️,✔️
sc_h_1,lama_dilated,6.20102911534391,34.32830810546875,0.6489682793617249,✔️,
sc_h_1,realesrgan,6.511363491665256,24.62127685546875,0.643052339553833,,✔️
sc_h_1,aesrgan,2.785905028597444,-8.95587158203125,0.6336371302604675,✔️,✔️
sc_h_10,lama_dilated,5.937549167523905,25.05487060546875,0.8391227722167969,✔️,
sc_h_10,swin2sr,8.879515817833214,67.01776123046875,0.8295400142669678,,
sc_h_10,realesrgan,3.247376123447552,13.82928466796875,0.7956147193908691,✔️,
sc_h_10,aesrgan,4.096074732386461,6.30291748046875,0.7996349334716797,✔️,✔️
sc_h_11,lama_dilated,11.87974329784055,10.74334716796875,0.9206305742263794,✔️,
sc_h_11,swin2sr,12.604889990468976,96.56951904296876,0.902542233467102,,
sc_h_11,realesrgan,10.851704106849985,26.82537841796875,0.8053767085075378,,
sc_h_11,aesrgan,10.278320889267604,21.12518310546875,0.9010928869247437,✔️,✔️
sc_h_12,lama_dilated,8.955110178067198,30.90350341796875,0.7377485036849976,✔️,
sc_h_12,swin2sr,10.184844569199203,70.69354248046875,0.5128191709518433,,
sc_h_12,realesrgan,7.535060400191367,33.30389404296875,0.611035943031311,,
sc_h_12,aesrgan,5.6594387042963525,17.56268310546875,0.5756576061248779,✔️,✔️
sc_h_13,lama_dilated,8.050606516491701,18.03240966796875,0.8567488193511963,✔️,
sc_h_13,swin2sr,11.98169769100896,86.23651123046875,0.8585174083709717,,
sc_h_13,realesrgan,8.364145273388543,21.18182373046875,0.8787353038787842,,
sc_h_13,aesrgan,9.41037155653382,28.41424560546875,0.8868237137794495,✔️,✔️
sc_h_14,lama_dilated,7.539749835367923,36.75799560546875,0.8939652442932129,✔️,
sc_h_14,swin2sr,10.42578572430996,72.10467529296875,0.8564386367797852,,✔️
sc_h_14,realesrgan,6.145072573500283,41.76678466796875,0.8826099634170532,,
sc_h_14,aesrgan,4.432343986489435,-5.03887939453125,0.8782184720039368,✔️,
sc_h_15,lama_dilated,11.073903224073105,20.88885498046875,0.9448997974395752,✔️,
sc_h_15,swin2sr,10.430936735360577,78.68572998046875,0.9204808473587036,,
sc_h_15,realesrgan,9.003620517035365,31.43084716796875,0.9332743287086488,✔️,
sc_h_15,aesrgan,9.820698642284349,24.88494873046875,0.9347695112228394,,✔️
sc_h_16,lama_dilated,7.8213863636733185,41.50994873046875,0.760788083076477,,
sc_h_16,swin2sr,8.373950735237047,55.59295654296875,0.8280773758888245,✔️,
sc_h_16,realesrgan,4.133115743062509,15.33416748046875,0.638280987739563,,
sc_h_16,aesrgan,3.172588076027049,10.84197998046875,0.5691500902175903,✔️,✔️
sc_h_17,lama_dilated,8.23518669315131,25.58026123046875,0.9332414865493774,✔️,
sc_h_17,swin2sr,14.826803878196928,93.76580810546876,0.9284738302230836,,
sc_h_17,realesrgan,11.252250734656208,35.69549560546875,0.916075587272644,,
